Key,en,es,ar
Home,Home,Hogar,بيت
About Us,About Us,Sobre nosotros,معلومات عنا
Services,Services,Servicios,خدمات
Web Journal,Web Journal,Diario Web,مجلة الويب
Developer,Developer,Desarrollador,مطور
Contact,Contact,Contacto,اتصال
Join Now,Join Now,Únete ahora,نضم الان
Enter Email,Enter Email,Ingrese correo electrónico,أدخل البريد الإلكتروني
Enter Password,Enter Password,Introducir la contraseña,أدخل كلمة المرور
Forgot Password,Forgot Password,Has olvidado tu contraseña,هل نسيت كلمة السر
Login Now,Login Now,Inicia sesión ahora,تسجيل الدخول الآن
Don't Have An Account?,Don't Have An Account?,¿No tienes una cuenta?,ليس لديك حساب؟
Register Now,Register Now,Regístrate ahora,سجل الان
By clicking Login you are agreeing with our,By clicking Login you are agreeing with our,Al hacer clic en Iniciar sesión estás de acuerdo con nuestra,بالنقر فوق تسجيل الدخول، فإنك توافق على موافقتنا
Terms of feature,Terms of feature,Términos de característica,شروط الميزة
First Name,First Name,Nombre de pila,الاسم الأول
Last Name,Last Name,Apellido,اسم العائلة
Email,Email,Correo electrónico,بريد إلكتروني
Password,Password,Contraseña,كلمة المرور
I have agreed with,I have agreed with,he estado de acuerdo con,لقد اتفقت مع
Terms Of Use & Privacy Policy,Terms Of Use & Privacy Policy,Términos de uso y política de privacidad,شروط الاستخدام وسياسة الخصوصية
Already Have An Account?,Already Have An Account?,¿Ya tienes una cuenta?,هل لديك حساب؟
Dashboard,Dashboard,Panel,لوحة القيادة
Payments,Payments,Pagos,المدفوعات
2FA Security,2FA Security,Seguridad 2FA,2FA الأمن
Logout,Logout,Cerrar sesión,تسجيل خروج
Need Help?,Need Help?,¿Necesitas ayuda?,تحتاج مساعدة؟
Please check our docs,Please check our docs,Por favor consulte nuestros documentos,يرجى التحقق من مستنداتنا
Get Support,Get Support,Obtener apoyo,احصل على الدعم
Are you sure to,Are you sure to,¿Estás seguro de,هل أنت متأكد من ذلك
Profile,Profile,Perfil,حساب تعريفي
Profile Settings,Profile Settings,Configuración de perfil,إعدادات الملف الشخصي
Delete Profile,Delete Profile,Borrar perfil,حذف الملف الشخصي
Country,Country,País,دولة
Select Country,Select Country,Seleccionar país,حدد الدولة
Phone,Phone,Teléfono,هاتف
Address,Address,DIRECCIÓN,عنوان
City,City,Ciudad,مدينة
State,State,Estado,ولاية
Enter First Name,Enter First Name,Introduzca el nombre,أدخل الاسم الأول
Enter Last Name,Enter Last Name,Introduzca el apellido,إدخال اسم آخر
Enter Number,Enter Number,Ingresar número,أدخل رقم
Enter Address,Enter Address,Ingresa la direccion,أدخل العنوان
Enter City,Enter City,Ingrese la ciudad,أدخل المدينة
Enter State,Enter State,Ingresar estado,إدخال الدولة
Zip Code,Zip Code,Código postal,الرمز البريدي
Enter Zip,Enter Zip,Ingresar código postal,أدخل الرمز البريدي
Update,Update,Actualizar,تحديث
Something went wrong! Please try again.,Something went wrong! Please try again.,¡Algo salió mal! Inténtalo de nuevo.,هناك خطأ ما! حاول مرة اخرى.
Profile successfully updated!,Profile successfully updated!,¡Perfil actualizado exitosamente!,تم تحديث الملف الشخصي بنجاح!
The firstname field is required.,The firstname field is required.,El campo de nombre es obligatorio.,الحقل الأول مطلوب.
The lastname field is required.,The lastname field is required.,El campo de apellido es obligatorio.,حقل الاسم الأخير مطلوب.
The current password field is required.,The current password field is required.,El campo de contraseña actual es obligatorio.,حقل كلمة المرور الحالية مطلوب.
The password field is required.,The password field is required.,El campo de contraseña es obligatorio.,حقل كلمة المرور مطلوب.
Change,Change,Cambiar,يتغير
Current password didn\'t match,Current password didn\'t match,La contraseña actual no coincide,كلمة المرور الحالية غير متطابقة
Password successfully updated!,Password successfully updated!,¡Contraseña actualizada exitosamente!,تم تحديث كلمة المرور بنجاح!
Your account deleted successfully!,Your account deleted successfully!,¡Tu cuenta se eliminó exitosamente!,تم حذف حسابك بنجاح!
Are you sure to delete your account?,Are you sure to delete your account?,¿Estás seguro de eliminar tu cuenta?,هل أنت متأكد من حذف حسابك؟
If you do not think you will use,If you do not think you will use,Si no crees que lo usarás,إذا كنت لا تعتقد أنك سوف تستخدم
"again and like your account deleted. Keep in mind you will not be able to reactivate your account or retrieve any of the content or information you have added. If you would still like your account deleted, click “Delete Account”.?","again and like your account deleted. Keep in mind you will not be able to reactivate your account or retrieve any of the content or information you have added. If you would still like your account deleted, click “Delete Account”.?","nuevamente y dale me gusta a tu cuenta eliminada. Tenga en cuenta que no podrá reactivar su cuenta ni recuperar el contenido o la información que haya agregado. Si aún desea eliminar su cuenta, haga clic en ""Eliminar cuenta"".","مرة أخرى ومثل حذف حسابك. ضع في اعتبارك أنك لن تتمكن من إعادة تنشيط حسابك أو استرداد أي من المحتوى أو المعلومات التي أضفتها. إذا كنت لا تزال ترغب في حذف حسابك، فانقر فوق ""حذف الحساب""."
Confirm,Confirm,Confirmar,يتأكد
Close,Close,Cerca,يغلق
Account successfully verified,Account successfully verified,Cuenta verificada exitosamente,تم التحقق من الحساب بنجاح
Please verify your mail address. Check your mail inbox to get verification code,Please verify your mail address. Check your mail inbox to get verification code,Por favor verifique su dirección de correo. Revisa tu bandeja de entrada de correo para obtener el código de verificación,يرجى التحقق من عنوان البريد الخاص بك. تحقق من صندوق البريد الوارد الخاص بك للحصول على رمز التحقق
Mail Resend Success!,Mail Resend Success!,¡Reenvío de correo exitoso!,نجاح إعادة إرسال البريد!
Please enter the code,Please enter the code,Por favor ingresa el código,الرجاء إدخال الرمز
We sent a 6 digit code here,We sent a 6 digit code here,Enviamos un código de 6 dígitos aquí.,لقد أرسلنا رمزًا مكونًا من 6 أرقام هنا
You can resend the code after,You can resend the code after,Puedes reenviar el código después,يمكنك إعادة إرسال الرمز بعد ذلك
Submit,Submit,Entregar,يُقدِّم
Back To,Back To,De regreso,ارجع الى
Didn't get the code?,Didn't get the code?,¿No recibiste el código?,لم تحصل على الرمز؟
Resend,Resend,Reenviar,إعادة إرسال
Mail Authorization,Mail Authorization,Autorización de correo,ترخيص البريد
Reset Your Forgotten Password?,Reset Your Forgotten Password?,¿Restablecer su contraseña olvidada?,إعادة تعيين كلمة المرور المنسية؟
Take control of your account by resetting your password. Our password recovery page guides you through the necessary steps to securely reset your password.,Take control of your account by resetting your password. Our password recovery page guides you through the necessary steps to securely reset your password.,Tome el control de su cuenta restableciendo su contraseña. Nuestra página de recuperación de contraseña lo guía a través de los pasos necesarios para restablecer su contraseña de forma segura.,السيطرة على حسابك عن طريق إعادة تعيين كلمة المرور الخاصة بك. ترشدك صفحة استعادة كلمة المرور الخاصة بنا إلى الخطوات اللازمة لإعادة تعيين كلمة المرور الخاصة بك بشكل آمن.
Send OTP,Send OTP,Enviar OTP,أرسل كلمة مرور لمرة واحدة
Verification code sended to your email address.,Verification code sended to your email address.,Código de verificación enviado a su dirección de correo electrónico.,تم إرسال رمز التحقق إلى عنوان بريدك الإلكتروني.
The credentials field is required.,The credentials field is required.,El campo de credenciales es obligatorio.,حقل بيانات الاعتماد مطلوب.
Verify User,Verify User,Verificar usuario,التحقق من المستخدم
Verification code resend success!,Verification code resend success!,¡El reenvío del código de verificación fue exitoso!,تمت إعادة إرسال رمز التحقق بنجاح!
Password Reset,Password Reset,Restablecimiento de contraseña,إعادة تعيين كلمة المرور
Reset Your Password,Reset Your Password,Restablecer su contraseña,اعد ضبط كلمه السر
Enter New Password,Enter New Password,Ingrese nueva clave,أدخل كلمة المرور الجديدة
Enter Confirm Password,Enter Confirm Password,Ingrese Confirmar Contraseña,أدخل تأكيد كلمة المرور
Reset,Reset,Reiniciar,إعادة ضبط
The password must be at least 6 characters.,The password must be at least 6 characters.,La contraseña debe tener al menos 6 caracteres.,يجب أن تتكون كلمة المرور من 6 أحرف على الأقل.
The password confirmation does not match.,The password confirmation does not match.,La confirmación de la contraseña no coincide.,تأكيد كلمة المرور غير متطابق.
Password reset success. Please login with new password.,Password reset success. Please login with new password.,Restablecimiento de contraseña exitoso. Por favor inicie sesión con una nueva contraseña.,نجاح إعادة تعيين كلمة المرور. الرجاء تسجيل الدخول بكلمة المرور الجديدة.
Two Factor Authenticator,Two Factor Authenticator,Autenticador de dos factores,عامل المصادقة الثنائية
Enable,Enable,Permitir,يُمكَِن
Google Authenticator,Google Authenticator,Autenticador de Google,أداة مصادقة جوجل
"Google Authenticator adds an extra layer of security to your online accounts by adding a second step of verification when you sign in. This means that in addition to your password, you'll also need to enter a code that is generated by the Google Authenticator app on your phone.","Google Authenticator adds an extra layer of security to your online accounts by adding a second step of verification when you sign in. This means that in addition to your password, you'll also need to enter a code that is generated by the Google Authenticator app on your phone.","Google Authenticator agrega una capa adicional de seguridad a sus cuentas en línea al agregar un segundo paso de verificación cuando inicia sesión. Esto significa que, además de su contraseña, también deberá ingresar un código generado por la aplicación Google Authenticator. en tu teléfono.",يضيف Google Authenticator طبقة إضافية من الأمان إلى حساباتك عبر الإنترنت عن طريق إضافة خطوة ثانية للتحقق عند تسجيل الدخول. وهذا يعني أنه بالإضافة إلى كلمة المرور الخاصة بك، ستحتاج أيضًا إلى إدخال رمز تم إنشاؤه بواسطة تطبيق Google Authenticator على هاتفك.
How to Setup?,How to Setup?,¿Como instalar?,كيفيه التنصيب؟
Download App,Download App,Descargar aplicación,تحميل التطبيق
2 factor authentication (Powered by google)?,2 factor authentication (Powered by google)?,¿Autenticación de 2 factores (Desarrollada por Google)?,المصادقة الثنائية (مدعوم من جوجل)؟
Security Setting Updated Successfully!,Security Setting Updated Successfully!,¡Configuración de seguridad actualizada exitosamente!,تم تحديث إعداد الأمان بنجاح!
Support Tickets,Support Tickets,Boletos de soporte,تذاكر الدعم الفني
Add New,Add New,Agregar nuevo,اضف جديد
Ticket ID,Ticket ID,Identificación de entradas,معرف التذكرة
User,User,Usuario,مستخدم
username,username,nombre de usuario,اسم المستخدم
Subject,Subject,Sujeto,موضوع
Message,Message,Mensaje,رسالة
Status,Status,Estado,حالة
Last Reply,Last Reply,Última respuesta,الرد الأخير
No data found!,No data found!,¡Datos no encontrados!,لاتوجد بيانات!
Add New Ticket,Add New Ticket,Agregar nuevo boleto,إضافة تذكرة جديدة
Enter Subject,Enter Subject,Ingresar Asunto,أدخل الموضوع
Write Here,Write Here,Escribe aquí,اكتب هنا
Optional,Optional,Opcional,خياري
Attachments,Attachments,Archivos adjuntos,المرفقات
The name field is required.,The name field is required.,El campo de nombre es obligatorio.,حقل الاسم مطلوب.
The email field is required.,The email field is required.,El campo de correo electrónico es obligatorio.,حقل البريد الإلكتروني مطلوب.
The subject field is required.,The subject field is required.,El campo de asunto es obligatorio.,حقل الموضوع مطلوب.
The attachment field is required.,The attachment field is required.,El campo adjunto es obligatorio.,الحقل المرفق مطلوب.
Oops!! Failed to upload attachment. Please try again.,Oops!! Failed to upload attachment. Please try again.,¡¡Ups!! No se pudo cargar el archivo adjunto. Inténtalo de nuevo.,أُووبس!! فشل تحميل المرفق. حاول مرة اخرى.
Support ticket created successfully!,Support ticket created successfully!,¡Ticket de soporte creado exitosamente!,تم إنشاء تذكرة الدعم بنجاح!
SMS Sending failed! Please try again.,SMS Sending failed! Please try again.,¡Falló el envío de SMS! Inténtalo de nuevo.,فشل إرسال الرسائل القصيرة! حاول مرة اخرى.
This support ticket is closed.,This support ticket is closed.,Este ticket de soporte está cerrado.,تم إغلاق تذكرة الدعم هذه.
Support Details,Support Details,Detalles de soporte,تفاصيل الدعم
Description,Description,Descripción,وصف
Are you sure to mark as solved,Are you sure to mark as solved,¿Estás seguro de marcar como resuelto?,"هل أنت متأكد من وضع علامة ""تم الحل""."
Because it's not reversible.,Because it's not reversible.,Porque no es reversible.,لأنه لا يمكن عكسه.
Pending Tickets,Pending Tickets,Entradas pendientes,التذاكر المعلقة
Active Tickets,Active Tickets,Entradas activas,التذاكر النشطة
Solved Tickets,Solved Tickets,Entradas resueltas,تذاكر محلولة
All Tickets,All Tickets,Todas las entradas,جميع التذاكر
All Ticket,All Ticket,Todos los boletos,جميع التذاكر
View All,View All,Ver todo,عرض الكل
Support Chat,Support Chat,Chat de soporte,دعم الدردشة
Conversation,Conversation,Conversación,محادثة
"This ticket is solved, you can't send message right now.","This ticket is solved, you can't send message right now.","Este ticket está solucionado, no puedes enviar mensaje en este momento.",تم حل هذه التذكرة، لا يمكنك إرسال رسالة الآن.
Pending Ticket,Pending Ticket,Boleto pendiente,تذكرة معلقة
Active Ticket,Active Ticket,Boleto Activo,تذكرة نشطة
Solved Ticket,Solved Ticket,Boleto resuelto,تذكرة محلولة
Notification,Notification,Notificación,إشعار
Change Password,Change Password,Cambiar la contraseña,تغيير كلمة المرور
Current Password,Current Password,Contraseña actual,كلمة السر الحالية
New Password,New Password,Nueva contraseña,كلمة المرور الجديدة
Confirm Password,Confirm Password,confirmar Contraseña,تأكيد كلمة المرور
Active,Active,Activo,نشيط
Default,Default,Por defecto,تقصير
Pending,Pending,Pendiente,قيد الانتظار
Solved,Solved,Resuelto,تم حلها
Banned,Banned,Prohibido,محظور
Verified,Verified,Verificado,تم التحقق
Rejected,Rejected,Rechazado,مرفوض
Unverified,Unverified,Inconfirmado,لم يتم التحقق منها
Choose One,Choose One,Elige uno,اختر واحدًا
NID,NOT,NO,لا
Passport,Passport,Pasaporte,جواز سفر
Driving License,Driving License,Licencia de conducir,رخصة قيادة
Front,Front,Frente,أمام
Back,Back,Atrás,خلف
ID Type,ID Type,tipo de identificación,نوع الهوية
KYC Information,KYC Information,Información KYC,معلومات اعرف عميلك
Your KYC information is submited. Please wait for admin confirmation. When you are KYC verified you will show your submited information here,Your KYC information is submited. Please wait for admin confirmation. When you are KYC verified you will show your submited information here,"Se envía su información KYC. Espere la confirmación del administrador. Cuando esté verificado por KYC, mostrará la información enviada aquí",تم إرسال معلومات KYC الخاصة بك. الرجاء الانتظار لتأكيد المشرف. عندما يتم التحقق من KYC، ستعرض معلوماتك المقدمة هنا
Your KYC information is verified,Your KYC information is verified,Su información KYC está verificada,تم التحقق من معلومات KYC الخاصة بك
Your KYC information is rejected.,Your KYC information is rejected.,Su información KYC es rechazada.,تم رفض معلومات KYC الخاصة بك.
Please submit your KYC information with valid data.,Please submit your KYC information with valid data.,Envíe su información KYC con datos válidos.,يرجى تقديم معلومات KYC الخاصة بك مع بيانات صالحة.
Reject Reason,Reject Reason,Motivo del rechazo,رفض السبب
KYC information successfully submitted,KYC information successfully submitted,La información KYC se envió correctamente,تم إرسال معلومات KYC بنجاح
You are already KYC Verified User,You are already KYC Verified User,Ya eres usuario verificado de KYC,أنت بالفعل مستخدم تم التحقق منه (KYC).
No need to identity verification!!,No need to identity verification!!,¡¡No es necesario verificar la identidad!!,لا حاجة للتحقق من الهوية!!
Version,Version,Versión,إصدار
Search,Search,Buscar,يبحث
Fullscreen,Fullscreen,Pantalla completa,تكبير الشاشة
Clear All,Clear All,Limpiar todo,امسح الكل
No new notification found!,No new notification found!,¡No se encontró ninguna notificación nueva!,لم يتم العثور على إشعار جديد!
Settings,Settings,Ajustes,إعدادات
Admin Profile,Admin Profile,Perfil de administrador,الملف الشخصي للمسؤول
Language,Language,Idioma,لغة
English,English,Inglés,إنجليزي
Layout Mode,Layout Mode,Modo de diseño,وضع التخطيط
Dark Mode,Dark Mode,Modo oscuro,الوضع المظلم
Topbar Color,Topbar Color,Color de la barra superior,لون الشريط العلوي
Light Mode,Light Mode,Modo de luz,وضع الضوء
Sidebar Color,Sidebar Color,Color de la barra lateral,لون الشريط الجانبي
Min Sidebar Color,Min Sidebar Color,Color mínimo de la barra lateral,الحد الأدنى للون الشريط الجانبي
Direction,Direction,Dirección,اتجاه
RTL Support,RTL Support,Soporte RTL,دعم RTL
Profile Image,Profile Image,Imagen de perfil,صورة الملف الشخصي
Save & Change,Save & Change,Guardar cambios,حفظ وتغيير
Profile Information Updated Successfully!,Profile Information Updated Successfully!,¡Información de perfil actualizada con éxito!,تم تحديث معلومات الملف الشخصي بنجاح!
Welcome To,Welcome To,Bienvenido a,مرحبا بك في
Admin Panel,Admin Panel,Panel de administrador,لوحة الادارة
Developed by,Developed by,Desarrollado por,طورت بواسطة
AppDevs,AppDevs,desarrolladores de aplicaciones,AppDevs
Password updated successfully!,Password updated successfully!,¡Contraseña actualizada exitosamente!,تم تحديث كلمة السر بنجاح!
Interface Panel,Interface Panel,Panel de interfaz,لوحة الواجهة
Active Users,Active Users,Usuarios activos,المستخدمين النشطين
Email Unverified,Email Unverified,Correo electrónico no verificado,لم يتم التحقق من البريد الإلكتروني
KYC Unverified,KYC Unverified,KYC no verificado,لم يتم التحقق من KYC
All Users,All Users,Todos los usuarios,جميع المستخدمين
Email To Users,Email To Users,Enviar correo electrónico a los usuarios,البريد الإلكتروني للمستخدمين
Banned Users,Banned Users,Usuarios prohibidos,المستخدمون المحظورون
Admin Care,Admin Care,Atención administrativa,رعاية المشرف
All Admin,All Admin,Todos los administradores,كل المشرف
Admin Role,Admin Role,Rol de administrador,دور المشرف
Role Permission,Role Permission,Permiso de rol,إذن الدور
Email To Admin,Email To Admin,Enviar correo electrónico al administrador,البريد الإلكتروني إلى المشرف
Web Settings,Web Settings,Configuración web,إعدادات الويب
Basic Settings,Basic Settings,Ajustes básicos,الإعدادات الأساسية
Image Assets,Image Assets,Recursos de imagen,أصول الصورة
Setup SEO,Setup SEO,Configurar SEO,إعداد كبار المسئولين الاقتصاديين
App Settings,App Settings,Ajustes de Aplicacion,إعدادات التطبيقات
Splash Screen,Splash Screen,Pantalla de bienvenida,شاشة البداية
Onboard Screen,Onboard Screen,Pantalla integrada,شاشة على متن الطائرة
Languages,Languages,Idiomas,اللغات
Setup Email,Setup Email,Configurar correo electrónico,إعداد البريد الإلكتروني
Email Method,Email Method,Método de correo electrónico,طريقة البريد الإلكتروني
Setup KYC,Setup KYC,Configurar KYC,إعداد KYC
Verification Center,Verification Center,Centro de verificación,مركز التحقق
Setup Web Content,Setup Web Content,Configurar contenido web,إعداد محتوى الويب
Setup Section,Setup Section,Sección de configuración,قسم الإعداد
Setup Pages,Setup Pages,Páginas de configuración,صفحات الإعداد
Extensions,Extensions,Extensiones,ملحقات
Useful Links,Useful Links,Enlaces útiles,روابط مفيدة
Push Notification,Push Notification,Notificación de inserción,دفع الإخطار
Setup Notification,Setup Notification,Notificación de configuración,إشعار الإعداد
Send Notification,Send Notification,Enviar notificación,إرسال الإخطار
Bonus,Bonus,Prima,علاوة
GDPR Cookie,GDPR Cookie,Cookie RGPD,ملف تعريف الارتباط الناتج عن اللائحة العامة لحماية البيانات
Server Info,Server Info,Información del servidor,معلومات الخادم
Clear Cache,Clear Cache,Limpiar cache,مسح ذاكرة التخزين المؤقت
Action,Action,Acción,فعل
User Overview,User Overview,Descripción general del usuario,نظرة عامة على المستخدم
Add/Subtract Balance,Add/Subtract Balance,Sumar/Restar Saldo,إضافة/طرح الرصيد
Login Logs,Login Logs,Registros de inicio de sesión,سجلات تسجيل الدخول
Send Email,Send Email,Enviar correo electrónico,ارسل بريد الكتروني
Login as Member,Login as Member,Iniciar sesión como miembro,تسجيل الدخول كعضو
Email Logs,Email Logs,Registros de correo electrónico,سجلات البريد الإلكتروني
Full Name,Full Name,Nombre completo,الاسم الكامل
Last Login,Last Login,Último acceso,آخر تسجيل دخول
Information of User,Information of User,Información del Usuario,معلومات المستخدم
Phone Number,Phone Number,Número de teléfono,رقم التليفون
Type Here,Type Here,Escriba aquí,أكتب هنا
User Status,User Status,Estatus de usuario,حالة المستخدم
Email Verification,Email Verification,verificacion de email,تأكيد بواسطة البريد الالكتروني
2FA Verification,2FA Verification,Verificación 2FA,التحقق 2FA
KYC Verification,KYC Verification,Verificación KYC,التحقق من KYC
Send,Send,Enviar,يرسل
Type,Type,Tipo,يكتب
Select Type,Select Type,Seleccione tipo,اختر صنف
Balance Add,Balance Add,Agregar saldo,إضافة الرصيد
Balance Subtract,Balance Subtract,Resta de saldo,طرح الرصيد
User Wallet,User Wallet,Cartera de usuario,محفظة المستخدم
Select User Wallet,Select User Wallet,Seleccionar billetera de usuario,حدد محفظة المستخدم
Amount,Amount,Cantidad,كمية
Remark,Remark,Observación,ملاحظة
The username field is required.,The username field is required.,El campo de nombre de usuario es obligatorio.,حقل اسم المستخدم مطلوب.
The message field is required.,The message field is required.,El campo del mensaje es obligatorio.,حقل الرسالة مطلوب.
Opps! User not exists,Opps! User not exists,¡Ups! El usuario no existe,انتبه! المستخدم غير موجود
Mail successfully sended,Mail successfully sended,Correo enviado exitosamente,تم إرسال البريد بنجاح
User Login Logs,User Login Logs,Registros de inicio de sesión de usuario,سجلات دخول المستخدم
SL,SL,SL,إس إل
IP,IP,IP,الملكية الفكرية
MAC,MAC,MAC,ماك
Location,Location,Ubicación,موقع
Browser,Browser,Navegador,المتصفح
OS,YOU,TÚ,أنت
Login at,Login at,Inicia sesión en,تسجيل الدخول في
User Email Logs,User Email Logs,Registros de correo electrónico del usuario,سجلات البريد الإلكتروني للمستخدم
Mail Sender(Method),Mail Sender(Method),Remitente de correo (método),مرسل البريد (الطريقة)
Email Unverified Users,Email Unverified Users,Enviar correo electrónico a usuarios no verificados,إرسال بريد إلكتروني للمستخدمين الذين لم يتم التحقق منهم
SMS Unverified Users,SMS Unverified Users,Usuarios no verificados de SMS,المستخدمين الذين لم يتم التحقق من الرسائل النصية القصيرة
KYC Unverified Users,KYC Unverified Users,Usuarios no verificados de KYC,KYC المستخدمين الذين لم يتم التحقق منهم
User Care,User Care,Atención al usuario,رعاية المستخدم
User Details,User Details,Detalles de usuario,بيانات المستخدم
User Profile,User Profile,Perfil del usuario,ملف تعريفي للمستخدم
Kyc Profile,Kyc Profile,Perfil de Kyc,الملف الشخصي لـ Kyc
Edit KYC,Edit KYC,Editar KYC,تحرير اعرف عميلك
Information of Logs,Information of Logs,Información de registros,معلومات السجلات
File not found!,File not found!,¡Archivo no encontrado!,لم يتم العثور على الملف!
Approve,Approve,Aprobar,يعتمد
Reject,Reject,Rechazar,يرفض
KYC Information not submitted yet,KYC Information not submitted yet,Información KYC aún no enviada,لم يتم تقديم معلومات KYC بعد
Are you sure to approve,Are you sure to approve,¿Estás seguro de aprobar?,هل أنت متأكد من الموافقة
KYC information.,KYC information.,Información KYC.,"معلومات ""اعرف عميلك""."
Rejejct KYC,Reject KYC,Rechazar KYC,"رفض ""اعرف عميلك""."
Explain Rejection Reason,Explain Rejection Reason,Explicar el motivo del rechazo,شرح سبب الرفض
User already KYC verified,User already KYC verified,Usuario ya verificado KYC,تم التحقق من المستخدم بالفعل
User KYC information not found,User KYC information not found,Información KYC del usuario no encontrada,لم يتم العثور على معلومات KYC الخاصة بالمستخدم
