Key,en,es,ar
User KYC successfully approved,User KYC successfully approved,Usuario KYC aprobado exitosamente,تمت الموافقة على KYC للمستخدم بنجاح
The reason field is required.,The reason field is required.,El campo de motivo es obligatorio.,حقل السبب مطلوب.
User KYC information is rejected,User KYC information is rejected,La información KYC del usuario es rechazada,تم رفض معلومات KYC الخاصة بالمستخدم
User do not have sufficient balance,User do not have sufficient balance,El usuario no tiene saldo suficiente,المستخدم ليس لديه رصيد كافي
User wallet not found!,User wallet not found!,¡No se encontró la billetera del usuario!,لم يتم العثور على محفظة المستخدم!
Transaction success,Transaction success,Éxito de la transacción,نجاح الصفقة
Details,Details,Detalles,تفاصيل
Email successfully sended,Email successfully sended,Correo electrónico enviado correctamente,تم إرسال البريد الإلكتروني بنجاح
Add Admin,Add Admin,Agregar administrador,إضافة المشرف
Role,Role,Role,دور
Cancel,Cancel,Cancelar,يلغي
Add,Add,Agregar,يضيف
Generate,Generate,Generar,يولد
Select Role,Select Role,Seleccionar rol,حدد الدور
The role field is required.,The role field is required.,El campo de rol es obligatorio.,حقل الدور مطلوب.
The phone field is required.,The phone field is required.,El campo del teléfono es obligatorio.,حقل الهاتف مطلوب.
Role assign faild!,Role assign faild!,¡Error en la asignación de roles!,فشل تعيين الدور!
New admin created successfully!,New admin created successfully!,¡Nuevo administrador creado exitosamente!,تم إنشاء المشرف الجديد بنجاح!
Edit Admin,Edit Admin,Editar administrador,تحرير المشرف
Admin information updated successfully!,Admin information updated successfully!,¡La información del administrador se actualizó exitosamente!,تم تحديث معلومات المشرف بنجاح!
Are you sure to remove,Are you sure to remove,¿Estás seguro de eliminar?,هل أنت متأكد من إزالة
Admin Roles,Admin Roles,Funciones de administrador,أدوار المشرف
All Admin Roles,All Admin Roles,Todas las funciones de administrador,جميع أدوار المشرف
Role Name,Role Name,Nombre de rol,اسم الدور
Asign Admin,Assign Admin,Asignar administrador,تعيين المشرف
Add New Role,Add New Role,Agregar nuevo rol,إضافة دور جديد
Edit Role,Edit Role,Editar rol,تحرير الدور
Are you sure to delete this role?,Are you sure to delete this role?,¿Estás seguro de eliminar este rol?,هل أنت متأكد من حذف هذا الدور؟
Admin status updated successfully!,Admin status updated successfully!,¡El estado del administrador se actualizó exitosamente!,تم تحديث حالة المشرف بنجاح!
Admin role created successfully!,Admin role created successfully!,¡El rol de administrador se creó exitosamente!,تم إنشاء دور المشرف بنجاح!
Opps! Target not found!,Opps! Target not found!,¡Ups! ¡Objetivo no encontrado!,انتبه! لم يتم العثور على الهدف!
Opps! Target role not found!,Opps! Target role not found!,¡Ups! ¡Rol objetivo no encontrado!,انتبه! لم يتم العثور على الدور المستهدف!
Admin role updated successfully!,Admin role updated successfully!,¡El rol de administrador se actualizó exitosamente!,تم تحديث دور المشرف بنجاح!
Super admin role can\'t deletable.,Super admin role can\'t deletable.,La función de superadministrador no se puede eliminar.,لا يمكن حذف دور المشرف المتميز.
Admin role deleted successfully!,Admin role deleted successfully!,¡El rol de administrador se eliminó correctamente!,تم حذف دور المشرف بنجاح!
Permission Group,Permission Group,Grupo de permisos,مجموعة الأذونات
Permission Name,Permission Name,Nombre del permiso,اسم الإذن
Add New Permission,Add New Permission,Agregar nuevo permiso,إضافة إذن جديد
URI,TYPE,TIPO,يكتب
SL NO,SL NO,SI. NO,SL. لا
Assign Permission Page/Task,Assign Permission Page/Task,Asignar página/tarea de permiso,تعيين صفحة/مهمة إذن
Select Pages,Select Pages,Seleccionar páginas,حدد الصفحات
Are you sure to delete this permission? It will also delete all permissions against this role.,Are you sure to delete this permission? It will also delete all permissions against this role.,¿Estás seguro de eliminar este permiso? También eliminará todos los permisos de este rol.,هل أنت متأكد من حذف هذا الإذن؟ سيتم أيضًا حذف كافة الأذونات مقابل هذا الدور.
Permission created successfully!,Permission created successfully!,¡Permiso creado exitosamente!,تم إنشاء الإذن بنجاح!
Permission not found!,Permission not found!,¡Permiso no encontrado!,لم يتم العثور على إذن!
Permission updated successfully!,Permission updated successfully!,¡Permiso actualizado exitosamente!,تم تحديث الإذن بنجاح!
Permission deleted successfully!,Permission deleted successfully!,¡Permiso eliminado exitosamente!,تم حذف الإذن بنجاح!
Role Permission,Role Permission,Permiso de rol,إذن الدور
Permission assign successfully!,Permission assign successfully!,¡El permiso se asignó correctamente!,تم تعيين الإذن بنجاح!
Can\'t deletable system super admin,Can\'t deletable system super admin,No se puede eliminar el superadministrador del sistema,لا يمكن حذف المشرف المتميز للنظام
Admin deleted successfully!,Admin deleted successfully!,¡El administrador se eliminó exitosamente!,تم حذف المشرف بنجاح!
Email send successfully!,Email send successfully!,¡Envío de correo electrónico exitoso!,إرسال البريد الإلكتروني بنجاح!
All Permissions,All Permissions,Todos los permisos,جميع الأذونات
Site Base Color,Site Base Color,Color base del sitio,اللون الأساسي للموقع
Site Name,Site Name,Nombre del sitio,اسم الموقع
Web Version,Web Version,Versión Web,نسخة الويب
Site Title,Site Title,Título del sitio,عنوان الموقع
OTP Expiration,OTP Expiration,Vencimiento de la OTP,انتهاء صلاحية OTP
TimeZone,TimeZone,Zona horaria,وحدة زمنية
Activation Settings,Activation Settings,Configuración de activación,إعدادات التنشيط
User Registration,User Registration,registro de usuario,تسجيل المستخدم
Activated,Activated,Activado,مفعل
Deactivated,Deactivated,Desactivado,معطل
Secure Password,Secure Password,Contraseña segura,كلمة مرور آمنة
Agree Policy,Agree Policy,Política de acuerdo,الموافقة على السياسة
Force SSL,Force SSL,Forzar SSL,فرض SSL
Email Notification,Email Notification,Notificación de correo electrónico,إشعار البريد الإلكتروني
The base color field is required.,The base color field is required.,El campo de color base es obligatorio.,حقل اللون الأساسي مطلوب.
The site name field is required.,The site name field is required.,El campo del nombre del sitio es obligatorio.,حقل اسم الموقع مطلوب.
The web version field is required.,The web version field is required.,El campo de versión web es obligatorio.,حقل إصدار الويب مطلوب.
The site title field is required.,The site title field is required.,El campo del título del sitio es obligatorio.,حقل عنوان الموقع مطلوب.
The otp exp seconds field is required.,The otp exp seconds field is required.,El campo segundos de exp otp es obligatorio.,حقل ثواني otp مطلوب.
The timezone field is required.,The timezone field is required.,El campo de zona horaria es obligatorio.,حقل المنطقة الزمنية مطلوب.
Basic settings not found!,Basic settings not found!,¡No se encontraron configuraciones básicas!,لم يتم العثور على الإعدادات الأساسية!
Basic settings updated successfully!,Basic settings updated successfully!,¡La configuración básica se actualizó correctamente!,تم تحديث الإعدادات الأساسية بنجاح!
You have to configure your system mail first.,You have to configure your system mail first.,Primero debe configurar el correo de su sistema.,يجب عليك تكوين بريد النظام الخاص بك أولاً.
Please setup KYC field first. Go to [Setup KYC] page from sidebar,Please setup KYC field first. Go to [Setup KYC] page from sidebar,Primero configure el campo KYC. Vaya a la página [Configurar KYC] desde la barra lateral,يرجى إعداد حقل KYC أولاً. انتقل إلى صفحة [Setup KYC] من الشريط الجانبي
Basic settings status updated successfully!,Basic settings status updated successfully!,¡El estado de la configuración básica se actualizó correctamente!,تم تحديث حالة الإعدادات الأساسية بنجاح!
Seconds,Seconds,Segundos,ثواني
Logo (Light Version),Logo (Light Version),Logotipo (versión ligera),الشعار (النسخة الخفيفة)
Logo (Dark Version),Logo (Dark Version),Logotipo (versión oscura),الشعار (الإصدار الداكن)
Favicon (Light Version),Favicon (Light Version),Favicon (versión ligera),الأيقونة المفضلة (الإصدار الخفيف)
Favicon (Dark Version),Favicon (Dark Version),Favicon (versión oscura),الأيقونة المفضلة (الإصدار الداكن)
Search Engine Optimization (SEO),Search Engine Optimization (SEO),Optimización de motores de búsqueda (SEO),تحسين محركات البحث (SEO)
Image assets updated successfully!,Image assets updated successfully!,¡Los recursos de imagen se actualizaron correctamente!,تم تحديث أصول الصورة بنجاح!
Thumbnail Image,Thumbnail Image,Imagen en miniatura,صورة مصغرة
Social Title,Social Title,Título social,العنوان الاجتماعي
Social Description,Social Description,Descripción social,الوصف الاجتماعي
Tags,Tags,Etiquetas,العلامات
The title field is required.,The title field is required.,El campo del título es obligatorio.,مطلوب حقل العنوان.
SEO information updated successfully!,SEO information updated successfully!,¡Información SEO actualizada con éxito!,تم تحديث معلومات تحسين محركات البحث (SEO) بنجاح!
Image,Image,Imagen,صورة
App Version,App Version,Version de aplicacion,نسخة التطبيق
The version field is required.,The version field is required.,El campo de versión es obligatorio.,حقل الإصدار مطلوب.
Splash screen updated successfully!,Splash screen updated successfully!,¡La pantalla de bienvenida se actualizó correctamente!,تم تحديث شاشة البداية بنجاح!
Sub Title,Sub Title,Subtítulo,العنوان الفرعي
Add New Screen,Add New Screen,Agregar nueva pantalla,إضافة شاشة جديدة
Edit Screen,Edit Screen,Editar pantalla,تحرير الشاشة
Onboard Screen Added Successfully!,Onboard Screen Added Successfully!,¡Pantalla integrada agregada con éxito!,تمت إضافة الشاشة على متن الطائرة بنجاح!
Onboard screen status updated successfully!,Onboard screen status updated successfully!,¡El estado de la pantalla integrada se actualizó correctamente!,تم تحديث حالة الشاشة على متن الطائرة بنجاح!
Onboard screen information updated successfully!,Onboard screen information updated successfully!,¡La información de la pantalla a bordo se actualizó exitosamente!,تم تحديث معلومات الشاشة الموجودة على اللوحة بنجاح!
Screen deleted successfully!,Screen deleted successfully!,¡Pantalla eliminada exitosamente!,تم حذف الشاشة بنجاح!
delete,delete,borrar,يمسح
this screen?,this screen?,esta pantalla?,هذه الشاشة؟
Language Manager,Language Manager,Administrador de idiomas,مدير اللغة
Code,Code,Código,شفرة
Selectable,Selectable,Seleccionable,قابل للتحديد
Are you sure to delete this language?,Are you sure to delete this language?,¿Estás seguro de eliminar este idioma?,هل أنت متأكد من حذف هذه اللغة؟
Add Language,Add Language,Agregar idioma,إضافة لغة
Language Name,Language Name,Nombre del lenguaje,اسم اللغة
Language Code,Language Code,Código de lenguaje,رمز اللغة
LTR,LTR,LTR,لتر
RTL,RTL,RTL,من اليمين إلى اليسار
Select Language,Select Language,Seleccione el idioma,اختار اللغة
"Language File (.xlsx, .csv)","Language File (.xlsx, .csv)","Archivo de idioma (.xlsx, .csv)",ملف اللغة (.xlsx، .csv)
The code field is required.,The code field is required.,El campo del código es obligatorio.,حقل الرمز مطلوب.
The dir field is required.,The dir field is required.,El campo dir es obligatorio.,الحقل dir مطلوب.
Language created successfully!,Language created successfully!,¡Idioma creado exitosamente!,تم إنشاء اللغة بنجاح!
Language updated successfully!,Language updated successfully!,¡Idioma actualizado exitosamente!,تم تحديث اللغة بنجاح!
Language deleted successfully!,Language deleted successfully!,¡Idioma eliminado exitosamente!,تم حذف اللغة بنجاح!
Language status updated successfully!,Language status updated successfully!,¡El estado del idioma se actualizó exitosamente!,تم تحديث حالة اللغة بنجاح!
Language Information,Language Information,Información de idioma,معلومات اللغة
Language Keywords of English,Language Keywords of English,Palabras clave del idioma inglés,الكلمات الرئيسية للغة الإنجليزية
Edit Language,Edit Language,Editar idioma,تحرير اللغة
Import,Import,Importar,يستورد
Download,Download,Descargar,تحميل
Name,Name,Nombre,اسم
Email Send Method,Email Send Method,Método de envío de correo electrónico,طريقة إرسال البريد الإلكتروني
Select Method,Select Method,Seleccionar método,حدد الطريقة
SMTP,SMTP,SMTP,SMTP
Send Mail,Send Mail,Enviar correo,ارسل بريد
Host,Host,Anfitrión,يستضيف
Port,Port,Puerto,ميناء
Encryption,Encryption,Cifrado,التشفير
SSL,SSL,SSL,طبقة المقابس الآمنة
TLS,TLS,TLS,TLS
Mail From Address,Mail From Address,Correo desde la dirección,البريد من العنوان
"Language switch successfully!","Language switch successfully!","¡Cambio de idioma exitoso!","تبديل اللغة بنجاح!"
Send Test Mail,Send Test Mail,Enviar correo de prueba,إرسال بريد الاختبار
The method field is required.,The method field is required.,El campo del método es obligatorio.,حقل الطريقة مطلوب.
The host field is required.,The host field is required.,El campo de host es obligatorio.,الحقل المضيف مطلوب.
The port field is required.,The port field is required.,El campo del puerto es obligatorio.,حقل المنفذ مطلوب.
The encryption field is required.,The encryption field is required.,El campo de cifrado es obligatorio.,حقل التشفير مطلوب.
Information updated successfully!,Information updated successfully!,¡Información actualizada exitosamente!,تم تحديث المعلومات بنجاح!
Deactive,Deactive,Desactivado,غير نشط
KYC Data Form,KYC Data Form,Formulario de datos KYC,نموذج بيانات KYC
Field Name,Field Name,Nombre del campo,اسم الحقل
Field Types,Field Types,Tipos de campo,أنواع الحقول
Max File Size (mb),Max File Size (mb),Tamaño máximo de archivo (mb),الحد الأقصى لحجم الملف (ميجابايت)
File Extension,File Extension,Extensión de archivo,امتداد الملف
Options,Options,Opciones,خيارات
Min Character,Min Character,Carácter mínimo,حرف مين
Max Character,Max Character,Carácter máximo,شخصية ماكس
Field Necessity,Field Necessity,Necesidad de campo,ضرورة المجال
Required,Required,Requerido,مطلوب
Page Name,Page Name,Nombre de la página,اسم الصفحة
Disable,Disable,Desactivar,إبطال
KYC status updated successfully!,KYC status updated successfully!,¡El estado KYC se actualizó exitosamente!,تم تحديث حالة KYC بنجاح!
Setup Page status updated successfully!,Setup Page status updated successfully!,¡El estado de la página de configuración se actualizó exitosamente!,تم تحديث حالة صفحة الإعداد بنجاح!
Update Extension,Update Extension,Actualizar extensión,تحديث الامتداد
Instructions,Instructions,Instrucciones,تعليمات
Extension has been udpate successfully,Extension has been udpate successfully,La extensión se ha actualizado correctamente.,لقد تم تحديث الامتداد بنجاح
Extension status is updated successfully!,Extension status is updated successfully!,¡El estado de la extensión se actualizó correctamente!,تم تحديث حالة الامتداد بنجاح!
Extension is not found!,Extension is not found!,¡No se encuentra la extensión!,لم يتم العثور على التمديد!
Slug,Slug,Babosa,سبيكة
Add Link,Add Link,Añadir enlace,إضافة رابط
Content,Content,Contenido,محتوى
Use for make page link (URL),Use for make page link (URL),Úselo para crear un enlace a la página (URL),استخدم لإنشاء رابط الصفحة (URL)
Are you sure to delete this link?,Are you sure to delete this link?,¿Estás seguro de eliminar este enlace?,هل أنت متأكد من حذف هذا الرابط؟
Useful link added successfully!,Useful link added successfully!,¡Enlace útil agregado exitosamente!,تمت إضافة الرابط المفيد بنجاح!
Useful link updated successfully!,Useful link updated successfully!,¡Enlace útil actualizado exitosamente!,تم تحديث الرابط المفيد بنجاح!
Useful link deleted successfully!,Useful link deleted successfully!,¡Enlace útil eliminado exitosamente!,تم حذف الرابط المفيد بنجاح!
Useful link status updated successfully!,Useful link status updated successfully!,¡El estado del enlace útil se actualizó exitosamente!,تم تحديث حالة الرابط المفيد بنجاح!
Browser Push Notification Configuration,Browser Push Notification Configuration,Configuración de notificaciones push del navegador,تكوين إشعارات المتصفح
Instance ID,Instance ID,ID de instancia,معرف المثيل
Primary key,Primary key,Clave primaria,المفتاح الأساسي
Broadcasting/ Internal Notification Configuration,Broadcasting/ Internal Notification Configuration,Configuración de transmisión/notificación interna,البث/تكوين الإخطار الداخلي
Method,Method,Método,طريقة
APP ID,APP ID,ID DE APLICACIÓN,معرف التطبيق
Secret key,Secret key,Llave secreta,المفتاح السري
Cluster,Cluster,Grupo,تَجَمَّع
Notification Body,Notification Body,Organismo de notificación,هيئة الإخطار
Latest Notifications,Latest Notifications,Últimas notificaciones,أحدث الإخطارات
Body,Body,Cuerpo,جسم
Time,Time,Tiempo,وقت
Sorry! You have to configure first to send push notification.,Sorry! You have to configure first to send push notification.,¡Lo siento! Primero debe configurar para enviar notificaciones automáticas.,آسف! يجب عليك التهيئة أولاً لإرسال إشعار الدفع.
Please configure your push notification with valid credentials.,Please configure your push notification with valid credentials.,Configure su notificación push con credenciales válidas.,يرجى تكوين إشعار الدفع الخاص بك ببيانات اعتماد صالحة.
Oops! Failed to store information.,Oops! Failed to store information.,¡Ups! No se pudo almacenar la información.,أُووبس! فشل في تخزين المعلومات.
Notification sended successfully!,Notification sended successfully!,¡Notificación enviada exitosamente!,تم إرسال الإخطار بنجاح!
The instance id field is required.,The instance id field is required.,El campo de identificación de instancia es obligatorio.,حقل معرف المثيل مطلوب.
The primary key field is required.,The primary key field is required.,El campo de clave principal es obligatorio.,حقل المفتاح الأساسي مطلوب.
Policy Link,Policy Link,Enlace de política,رابط السياسة
The status field is required.,The status field is required.,El campo de estado es obligatorio.,حقل الحالة مطلوب.
The link field is required.,The link field is required.,El campo de enlace es obligatorio.,حقل الارتباط مطلوب.
The desc field is required.,The desc field is required.,El campo desc es obligatorio.,حقل الوصف مطلوب.
Cookie information updated successfully!,Cookie information updated successfully!,¡La información de las cookies se actualizó correctamente!,تم تحديث معلومات ملفات تعريف الارتباط بنجاح!
Server Information,Server Information,información del servidor,معلومات الخادم
App Name,App Name,Nombre de la aplicación,اسم التطبيق
App Environment,App Environment,Entorno de aplicación,بيئة التطبيق
App Debug,App Debug,Depuración de aplicaciones,تصحيح أخطاء التطبيق
App Mode,App Mode,Modo de aplicación,وضع التطبيق
Database Connection,Database Connection,Conexión de base de datos,اتصال قاعدة البيانات
Database Host,Database Host,Host de base de datos,مضيف قاعدة البيانات
Database Port,Database Port,Puerto de base de datos,منفذ قاعدة البيانات
Database Name,Database Name,Nombre de la base de datos,اسم قاعدة البيانات
Database Username,Database Username,Nombre de usuario de la base de datos,اسم مستخدم قاعدة البيانات
PHP Version,PHP Version,Versión PHP,نسخة PHP
Laravel Version,Laravel Version,Versión Laravel,نسخة لارافيل
Server Software,Server Software,Software de servidor,برامج الخادم
Server IP Address,Server IP Address,Dirección IP del servidor,عنوان IP للخادم
Server Protocol,Server Protocol,Protocolo de servidor,بروتوكول الخادم
"Cache Clear Successfully!","Cache Clear Successfully!","¡Borrar caché correctamente!","تم مسح ذاكرة التخزين المؤقت بنجاح!"
Edit Useful Link,Edit Useful Link,Editar enlace útil,تعديل الرابط المفيد
Contact Messages,Contact Messages,Mensajes de contacto,رسائل الاتصال
Reply,Reply,Responder,رد
Created At,Created At,Creado en,أنشئت في
Replyed,Replyed,Respondido,تم الرد
Not Replyed,Not Replyed,No respondido,لم يتم الرد
Send Reply,Send Reply,Enviar respuesta,إرسال الرد
Write Subject,Write Subject,Escribir Asunto,كتابة الموضوع
Reply sended successfully!,Reply sended successfully!,¡Respuesta enviada exitosamente!,تم إرسال الرد بنجاح!
Website Subscribers,Website Subscribers,Suscriptores del sitio web,المشتركين في الموقع
Subscribers,Subscribers,Suscriptores,مشتركين
Send Mail to All,Send Mail to All,Enviar correo a todos,إرسال البريد للجميع
Send mail to all subscribers,Send mail to all subscribers,Enviar correo a todos los suscriptores,إرسال البريد إلى جميع المشتركين
Mail send failed! Please try again,Mail send failed! Please try again,¡Falló el envío de correo! Inténtalo de nuevo,فشل إرسال البريد! حاول مرة اخرى
Setup Currency,Setup Currency,Configuración de moneda,عملة الإعداد
There is no default currency in your system.,There is no default currency in your system.,No hay ninguna moneda predeterminada en su sistema.,لا توجد عملة افتراضية في نظامك.
Add Currency,Add Currency,Agregar moneda,أضف العملة
Symbol,Symbol,Símbolo,رمز
Rate,Rate,Tasa,معدل
Sender,Sender,Remitente,مرسل
Receiver,Receiver,Receptor,المتلقي
currency?,currency?,¿divisa?,عملة؟
Country Flag,Country Flag,Bandera del país,علم الدولة
FIAT,FIAT,FÍAT,فيات
CRYPTO,CRYPTO,CRIPTO,تشفير
Both,Both,Ambos,كلاهما
Edit Currency,Edit Currency,Editar moneda,تحرير العملة
The type field is required.,The type field is required.,El campo tipo es obligatorio.,حقل النوع مطلوب.
The country field is required.,The country field is required.,El campo del país es obligatorio.,حقل البلد مطلوب.
The symbol field is required.,The symbol field is required.,El campo de símbolo es obligatorio.,حقل الرمز مطلوب.
The option field is required.,The option field is required.,El campo de opción es obligatorio.,حقل الخيار مطلوب.
The rate field is required.,The rate field is required.,El campo de tarifa es obligatorio.,حقل المعدل مطلوب.
Default currency make faild! Please try again.,Default currency make faild! Please try again.,¡La moneda predeterminada falló! Inténtalo de nuevo.,العملة الافتراضية فشلت! حاول مرة اخرى.
Currency Saved Successfully!,Currency Saved Successfully!,¡Moneda guardada con éxito!,تم حفظ العملة بنجاح!
Currency status updated successfully!,Currency status updated successfully!,¡El estado de la moneda se actualizó exitosamente!,تم تحديث حالة العملة بنجاح!
The currency type is required.,The currency type is required.,El tipo de moneda es obligatorio.,نوع العملة مطلوب.
The currency country field is required.,The currency country field is required.,El campo del país de moneda es obligatorio.,حقل بلد العملة مطلوب.
The currency name field is required.,The currency name field is required.,El campo del nombre de la moneda es obligatorio.,حقل اسم العملة مطلوب.
The currency code field is required.,The currency code field is required.,El campo del código de moneda es obligatorio.,حقل رمز العملة مطلوب.
The currency symbol field is required.,The currency symbol field is required.,El campo del símbolo de moneda es obligatorio.,حقل رمز العملة مطلوب.
The currency rate field is required.,The currency rate field is required.,El campo del tipo de cambio es obligatorio.,حقل سعر العملة مطلوب.
The currency option field is required.,The currency option field is required.,El campo de opción de moneda es obligatorio.,حقل خيار العملة مطلوب.
The currency target field is required.,The currency target field is required.,El campo de moneda objetivo es obligatorio.,حقل العملة المستهدفة مطلوب.
The currency role field is required.,The currency role field is required.,El campo de rol de moneda es obligatorio.,حقل دور العملة مطلوب.
Currency not found!,Currency not found!,¡Moneda no encontrada!,لم يتم العثور على العملة!
Image file upload faild!,Image file upload faild!,¡La carga del archivo de imagen falló!,فشل تحميل ملف الصورة!
Successfully updated the information.,Successfully updated the information.,Se actualizó exitosamente la información.,تم تحديث المعلومات بنجاح.
Can\'t deletable default currency.,Can\'t deletable default currency.,No se puede eliminar la moneda predeterminada.,لا يمكن حذف العملة الافتراضية.
Currency deleted successfully!,Currency deleted successfully!,¡Moneda eliminada exitosamente!,تم حذف العملة بنجاح!
Option,Option,Opción,خيار
Fees & Charges,Fees & Charges,Tarifas y cargos,الرسوم والمصاريف
Support,Support,Apoyo,يدعم
Please deselect your default language first.,Please deselect your default language first.,Primero deseleccione su idioma predeterminado.,الرجاء إلغاء تحديد لغتك الافتراضية أولاً.